member_casual,month,week_day,no_of_ride,max_ride_duration,average_duration,avg_distances_between_stations
member,9,3,52956,535,11.4236536,2111.95786
casual,9,3,22693,724,15.58731768,2021.623279
member,9,4,60691,827,11.61368242,2151.420695
casual,9,4,26015,571,15.95906208,2101.679491
member,9,5,61800,591,11.69323625,2168.845045
casual,9,5,27916,729,16.12695229,2085.968084
member,9,6,70299,1007,12.3358796,2147.364936
casual,9,6,44812,1094,18.8396858,2166.736842
member,9,7,68996,645,13.72078091,2281.154632
casual,9,7,67529,972,22.97934221,2268.129492
member,10,1,46815,1356,12.50084375,2086.780806
casual,10,1,37807,1060,22.17197873,2157.998725
member,10,2,59066,603,10.6736532,1958.039889
casual,10,2,23873,1243,17.37427219,1921.050434
member,10,3,68438,751,11.33304597,2081.026234
casual,10,3,26706,612,16.54635662,2021.350505
member,10,4,55934,665,11.24106983,2076.026606
casual,10,4,22937,480,16.12168113,2009.781116
member,10,5,50131,674,10.84935469,2029.09363
casual,10,5,19478,733,14.50318308,1902.546993
casual,10,6,20271,1028,16.09146071,1949.374194
member,10,6,43154,558,10.92098067,1963.930731
member,10,7,35524,628,11.64280486,2014.061051
casual,10,7,24788,1040,18.94928998,2071.88501
member,11,1,25425,867,11.76259587,1984.665616
casual,11,1,13607,923,18.41236128,1974.829834
casual,11,2,10982,423,14.1051721,1811.406841
member,11,2,36927,783,10.31741003,1915.48823
member,11,3,38559,627,10.12484764,1902.725148
casual,11,3,10648,388,12.2885988,1780.192801
member,11,4,47803,524,10.43150012,1925.247061
casual,11,4,13692,664,12.45917324,1761.64763
member,11,5,50866,668,10.66213188,1989.169282
casual,11,5,17868,758,13.93351242,1864.993251
member,11,6,33606,1131,10.31851455,1894.443892
casual,11,6,12712,780,14.218691,1791.181727
member,11,7,30255,854,11.64551314,2001.332488
casual,11,7,18199,925,17.99659322,1994.815268
member,12,1,18301,604,10.97284301,1859.698185
casual,12,1,7379,752,15.33392059,1784.912887
member,12,2,21548,480,9.896974197,1816.057716
casual,12,2,5014,492,12.8262864,1589.928643
member,12,3,23426,533,9.895970289,1827.066898
casual,12,3,5284,413,12.11279334,1587.23469
member,12,4,27730,481,10.16112514,1893.59371
casual,12,4,6932,373,12.37406232,1646.812348
member,12,5,28460,553,10.40741391,1938.592175
casual,12,5,7583,1083,12.75247264,1746.252638
member,12,6,29219,937,10.67565625,1882.923471
casual,12,6,9415,300,13.38353691,1768.621956
member,12,7,23238,480,10.99668646,1872.775977
casual,12,7,9570,909,15.1138976,1809.34663
